Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILKCUKI	25FROG	26GHI	27SALT	28RHOM
%(Ans1b_hint3)%	-	-	-	-	-	"<%=ifThen(hasValue(question0a),concat(""You already entered "",question0a,"" as your base. That only leaves which of the perpendicular pair ("",question0a,"" and NL) as the height?""),""Think about what is the base first. Only one of the 4 sides of a parallelogram can be a 'base'. That means JM must be the base. That only leaves which of the perpendicular pair (JM and NL) as the height? "")%>"	-	-	"A parallel segment pair on a parallelograms is always perpendicular to the same height! Since AN is parallel to LD, both of them are perpendicular to the height in between them!"	"<%=ifThen(hasValue(question0a),concat(""Base is already labeled as "",question0a,"". That only leaves which of the perpendicular pair ("",question0a,"" and KE) as the height?""),""Think about what is the base first. Only one of the 3 sides of a triangle can be a 'base'. That means SW must be the base. That only leaves which of the perpendicular pair (SW and KE) as the height? "")%>"	"<%=ifThen(hasValue(question0a),concat(""You already entered "",question0a,"" as your base. That only leaves which of the perpendicular pair ("",question0a,"" and MV) as the height?""),""Think about what is the base first. Only one of the 3 sides of a triangle can be a 'base'. That means EV must be the base. That only leaves which of the perpendicular pair (EV and MV) as the height? "")%>"	-	"<%=ifThen(hasValue(question0a),concat(""You already entered "",question0a,"" as your base. That only leaves which of the perpendicular pair ("",question0a,"" and IJ) as the height?""),""Think about what is the base first. Only one of the 4 sides of a parallelogram can be a 'base'. That means LK must be the base. That only leaves which of the perpendicular pair (LK and IJ) as the height? "")%>"	"There is a dotted line extending out of RO, creating a longer segment, RA. Notice a tiny square where RA and AG meets. This means they are perpendicular to each other. "	"<%=ifThen(hasValue(question0a),concat(""You already entered "",question0a,"" as your base. That only leaves which of the perpendicular pair ("",question0a,"" and GJ) as the height?""),""Think about what is the base first. Only one of the 3 sides of a triangle can be a 'base'. That means HI must be the base. That only leaves which of the perpendicular pair (HI and GJ) as the height? "")%>"	"<%=ifThen(hasValue(question0a),concat(""You already entered "",question0a,"" as your base. That only leaves which of the perpendicular pair ("",question0a,"" and SQ) as the height?""),""Think about what is the base first. Only one of the 4 sides of a parallelogram can be a 'base'. That means AL must be the base. That only leaves which of the perpendicular pair (AL and SQ) as the height? "")%>"	-
%(Ans1b_hint4)%	-	-	-	-	-	NL is the height because it is perpendicular to the base. Enter NL into the highlighted area.	-	-	BD is the height between AN and LD; it is perpendicular to both AN and LD. Enter BD into the highlighted area.	KE is the height because it is perpendicular to the base. Enter KE into the highlighted area.	MV is the height because it is perpendicular to the base. Enter MV into the highlighted area.	-	IJ is the height because it is perpendicular to the base. Enter IJ into the highlighted area.	AG is height #1 because it is perpendicular to the base #1. Enter AG into the input box.	GJ is the height because it is perpendicular to the base. Enter GJ into the highlighted area.	SQ is the height because it is perpendicular to the base. Enter SQ into the highlighted area.	-
%(Ans1c_hint1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1c_hint2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1c_hint3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1c_hint4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(Ans1d_hint1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	The base #2 (FR) is already labeled for you! All you have to do is find the height that is perpendicular to the base #2 (FR).	-	-	-
%(Ans1d_hint2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	"Having trouble finding the height perpendicular to base #2 (FR)? Sometimes, heights are displayed outside of the parallelogram, and can be confusing. When this happens, a dotted line is used to get the height to be connected with a base."	-	-	-
%(Ans1d_hint3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	"There is a dotted line extending out of FR, creating a longer segment, RB. Notice a tiny square where RB and BG meets. This means they are perpendicular to each other. "	-	-	-
%(Ans1d_hint4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	BG is height #2 because it is perpendicular to the base #2. Enter BG into the input box.	-	-	-

%(Ans2a_hint1)%	-	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the triangle's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the triangle's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the triangle's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the triangle's base here."")%>"	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram MILK's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram MILK's base here."")%>"	Enter the length of the parallelogram's base #1 here. Not sure which segment is base #1? What is the label of base #1?	"<%=ifThen(hasValue(question0a),""Enter the length of the triangle's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the triangle's base here."")%>"	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?
%(Ans2a_hint2)%	-	"Take a look at the diagram label of this column, or under ""Base"". The base segment label is displayed as AE. Enter the length of AE."	"Take a look at the diagram label of this column, or under ""Base"". The base segment label is displayed as FE. Enter the length of FE."	"Take a look at the diagram label of this column, or under ""Base of LEAF"". The base segment label is displayed as FA. Enter the length of FA."	"Take a look at the diagram label of this column, or under ""Base of ROFL"". The base segment label is displayed as RO. Enter the length of RO."	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""Base of ABC"". What is the name or label of the segment that represents the base?"	"Take a look at the diagram label of this column, or under ""Base of your choice for SPIN"". The base segment label is displayed as SN. Enter the length of SN."	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the  'Q1 Diagram Labels' row to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""Base of SKW"". What is the name or label of the segment that represents the base?"	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""Base"". The base segment label is displayed as NT. Enter the length of NT."	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"Take a look at the diagram label of this column, or under ""Base #1"". The base #1 segment label is displayed as RO. Enter the length of RO."	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	"The diagram label under Base of RHOM is HO. Unfortunately, the length of HO is not given in the question statement. But you can figure it out! Remember that RHOM is a rhombus."
%(Ans2a_hint3)%	-	"Re-read the question statement to find how long AE is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long FE is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long FA is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"Re-read the question statement to find how long RO is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""KL|LK"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to KL."")),""As shown by the diagram, JM and NL are perpendicular. Which one is the base?"")%>"	"The label under ""Base of ABC"" is AC. Do you remember how long the segment AC is? Read the problem statement again if you are not sure. "	"Re-read the question statement to find how long SN is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AN|NA"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to AN."")),""Your lazy partner measured only one side. This means, for your base, you will have to  use that side, or the side parallel to it. Which side is the one your partner measured?"")%>"	"The label under ""Base of SKW"" is SW. Do you remember how long the segment SW is? Read the problem statement again if you are not sure. "	"<%=ifThen(hasValue(question0a),""In Question1, the following is given: EV = 6.9 cm!"",""As shown by the diagram, EV and MV are perpendicular. Which one is the base?"")%>"	"Re-read the question statement to find how long NT is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to LK."")),""As shown by the diagram, LK and IJ are perpendicular. Which one is the base?"")%>"	"Re-read the question statement to find how long RO is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),""In Question1, the following is given: HI = 8.5 in!"",""As shown by the diagram, HI and GJ are perpendicular. Which one is the base?"")%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""ST|TS"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to ST."")),""As shown by the diagram, AL and SQ are perpendicular. Which one is the base?"")%>"	"Rhombus is a special parallelogram where all 4 of the sides have the same length. This means, if you know the length of 1 side, you will know the lengths of all 4 sides!"
%(Ans2a_hint4)%	-	"<%=ifThen(regExMatch(""AE|EA"",question0a),""The base (AE) is 6 centimeters long. Enter 6 into the highlighted area."",concat(""Question1 has given you AE = 6. Since "",question0a,"" is parallel to AE, "",question0a,"" = 6 as well.""))%>"	"<%=ifThen(regExMatch(""FE|EF"",question0a),""The base (FE) is 6 centimeters long. Enter 6 into the highlighted area."",concat(""Question1 has given you FE = 6. Since "",question0a,"" is parallel to FE, "",question0a,"" = 6 as well.""))%>"	"<%=ifThen(regExMatch(""FA|AF"",question0a),""The base (FA) is 8 feet long. Enter 8 into the highlighted area."",concat(""Question1 has given you FA = 8. Since "",question0a,"" is parallel to FA, "",question0a,"" = 8 as well.""))%>"	"<%=ifThen(regExMatch(""RO|OR"",question0a),""The base (RO) is 40 centimeters long. Enter 40 into the highlighted area."",concat(""Question1 has given you RO = 40. Since "",question0a,"" is parallel to RO, "",question0a,"" = 40 as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""KL|LK"",question0a),""Question1 has given you KL = 7.2. Enter 7.2 into the highlighted area."",concat(""Question1 has given you KL = 7.2. Since "",question0a,"" is parallel to KL, "",question0a,"" = 7.2 as well."")),""Base must be a side of a parallelogram. Therefore, JM is the base. Enter its length into the highlighted area."")%>"	The base (AC) is 7.1 feet long.	"<%=ifThen(regExMatch(""SN|NS"",question0a),""The base (SN) is 3 feet long. Enter 3 into the highlighted area."",concat(""Question1 has given you SN = 3. Since "",question0a,"" is parallel to SN, "",question0a,"" = 3 as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AN|NA"",question0a),""Question1 has given you AN = 10. Enter 10 in the highlighted field."",""Question1 has given you AN = 10. Since LD is parallel to AN, LD = 10 as well.""),""Your partner only measured AN. Enter its length into the highlighted area."")%>"	The base (SW) is 10 meters long.	"<%=ifThen(hasValue(question0a),""Enter 6.9 into the highlighted area."",""Only one of the 3 sides of a triangle can be a 'base'. Therefore, EV is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(regExMatch(""EA|AE"",question0a),""The base (NT) is 5.5 centimeters long. Enter 5.5 into the highlighted area."",concat(""Question1 has given you EA = 5.5. Since "",question0a,"" is parallel to EA, "",question0a,"" = 5.5 as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),""Question1 has given you LK = 90. Enter 90 into the highlighted area."",concat(""Question1 has given you LK = 90. Since "",question0a,"" is parallel to LK, "",question0a,"" = 90 as well."")),""Base must be a side of a parallelogram. Therefore, LK is the base. Enter its length into the highlighted area."")%>"	Base #1 (RO) is 27 inches long. Enter 27 into the highlighted area.	"<%=ifThen(hasValue(question0a),""Enter 8.5 into the highlighted area."",""Only one of the 3 sides of a triangle can be a 'base'. Therefore, HI is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""ST|TS"",question0a),""Question1 has given you ST = 0.15. Enter 0.15 into the highlighted area."",concat(""Question1 has given you ST = 0.15. Since "",question0a,"" is parallel to ST, "",question0a,"" = 0.15 as well."")),""Base must be a side of a parallelogram. Therefore, AL is the base. Enter its length into the highlighted area."")%>"	"Since RH = 24 ft, rest of the sides of RHOM are also 24 feet long. Enter 24 into the highlighted area."
